UserId,Transportation,Business of Science,Global Change,Physics,Chemistry,Computational Sciences,Information Systems,Agriculture,Biology & Medicine,Engineered Technologies,Mathematics,Energy,Social Sciences,Space Sciences,IEEE Spectrum
5512,0.000190367,0.473,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.473,0.000190367,0.000190367
5515,0.000190367,0.48449993,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.48449993,0.000190367,0.000190367
5516,0.000190367,0.2554422,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.2554422,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367
5517,0.000190367,0.51525003,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.51525003,0.000190367,0.000190367
5519,0.000190367,0.6382309,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.6382309,0.000190367,0.000190367,0.000190367,0.6576093,0.000190367
5520,0.000190367,0.57299998,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.57299998,0.000190367,0.000190367
5522,0.000190367,0.57299998,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.57299998,0.000190367,0.000190367
5523,0.000190367,0.49799997,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.49799997,0.000190367,0.000190367
5526,0.000190367,0.497,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.497,0.000190367,0.000190367
5527,0.44200957,0.469504785,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.497,0.000190367,0.000190367
5528,0.000190367,0.3715,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.3715,0.000190367,0.000190367
